  PID   TT  STAT      TIME COMMAND
  225   ??  Ss     0:01.27 /usr/libexec/thermald
  227   ??  Ss     0:00.59 /usr/libexec/secinitd
  228   ??  Ss     0:00.11 /System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries/CVMServer
  229   ??  Ss     0:20.09 /System/Library/PrivateFrameworks/TCC.framework/Resources/tccd system
  230   ??  Ss     0:00.22 /usr/libexec/colorsync.displayservices
  231   ??  Ss     0:00.05 /usr/libexec/colorsyncd
  238   ??  Ss     0:01.92 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/com.apple.CodeSigningHelper.xpc/Contents/MacOS/com.apple.CodeSigningHelper
  240   ??  Ss     0:00.22 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar -daemon
  241   ??  Ss     0:00.02 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
  242   ??  Ss     0:00.03 /usr/libexec/bootinstalld
  248   ??  Ss     0:00.34 /System/Library/PrivateFrameworks/AccountPolicy.framework/XPCServices/com.apple.AccountPolicyHelper.xpc/Contents/MacOS/com.apple.AccountPolicyHelper
  249   ??  Ss     0:22.25 /System/Library/PrivateFrameworks/PerformanceAnalysis.framework/Versions/A/XPCServices/com.apple.PerformanceAnalysis.animationperfd.xpc/Contents/MacOS/com.apple.PerformanceAnalysis.animationperfd
  252   ??  Ss     0:00.08 /System/Library/Frameworks/GSS.framework/Helpers/GSSCred
  253   ??  Ss     6:10.81 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
  258   ??  Ss     0:00.85 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  259   ??  Ss     0:00.31 /usr/libexec/securityd_service
  260   ??  S      0:46.79 /usr/sbin/cfprefsd agent
  261   ??  S      3:09.59 /usr/libexec/UserEventAgent (Aqua)
  263   ??  S      0:29.18 /usr/sbin/distnoted agent
  265   ??  S      0:27.37 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter -L
  266   ??  S      0:09.71 /usr/libexec/lsd
  267   ??  S      2:22.23 /usr/libexec/trustd --agent
  269   ??  S      0:08.89 /System/Library/CoreServices/sharedfilelistd
  270   ??  Ss     0:27.83 /usr/sbin/spindump
  272   ??  Ss     0:06.01 /usr/libexec/amfid
  274   ??  S      2:30.23 /usr/libexec/secd
  276   ??  Ss     0:00.88 /System/Library/CoreServices/SubmitDiagInfo server-init
  282   ??  Ss     0:03.09 /usr/sbin/WirelessRadioManagerd
  283   ??  S      0:14.60 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd
  286   ??  S      1:00.02 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
  287   ??  S      0:53.42 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
  289   ??  S      0:25.17 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
  290   ??  S      0:04.01 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
  291   ??  S      0:06.35 /System/Library/PrivateFrameworks/TCC.framework/Resources/tccd
  293   ??  S      0:14.45 /System/Library/PrivateFrameworks/IMDPersistence.framework/XPCServices/IMDPersistenceAgent.xpc/Contents/MacOS/IMDPersistenceAgent
  294   ??  S      5:40.17 /Applications/Utilities/Activity Monitor.app/Contents/MacOS/Activity Monitor -psn_0_77843
  295   ??  S      0:13.53 /usr/libexec/nsurlsessiond
  300   ??  S      0:13.57 /System/Library/CoreServices/talagent
  301   ??  S      3:59.67 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
  302   ??  S      5:41.09 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
  303   ??  S     15:14.56 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
  306   ??  Ss     0:02.10 /usr/sbin/systemsoundserverd
  307   ??  S      0:08.88 /usr/libexec/pboard
  308   ??  S      0:01.87 /System/Library/Frameworks/AddressBook.framework/Executables/ContactsAccountsService
  309   ??  S      0:04.48 /usr/libexec/secinitd
  314   ??  S      0:17.61 /usr/libexec/pkd
  316   ??  S      2:41.29 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
  317   ??  S      1:18.23 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
  319   ??  Ss     0:12.61 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsd
  320   ??  S      1:04.44 /usr/libexec/routined LAUNCHED_BY_LAUNCHD
  321   ??  S      0:04.18 /System/Library/PrivateFrameworks/CloudDocsDaemon.framework/Versions/A/Support/bird
  323   ??  S      1:20.53 /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight
  324   ??  Ss     0:01.00 /usr/libexec/captiveagent
  325   ??  Ss     0:00.20 /usr/libexec/nsurlstoraged --privileged
  326   ??  Ss     0:00.14 /System/Library/CoreServices/CrashReporterSupportHelper server-init
  327   ??  S      0:04.08 /System/Library/Frameworks/Security.framework/Versions/A/Resources/CloudKeychainProxy.bundle/Contents/MacOS/CloudKeychainProxy
  328   ??  S      0:10.61 /usr/sbin/usernoted
  329   ??  S      0:24.14 /System/Library/PrivateFrameworks/CoreParsec.framework/parsecd
  330   ??  S      2:13.62 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
  331   ??  Ss     0:13.44 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.extra.xpc/Contents/MacOS/com.apple.dock.extra
  332   ??  Ss     3:02.16 /usr/sbin/wirelessproxd
  333   ??  S      0:25.94 /usr/libexec/rapportd
  334   ??  S      5:49.98 /usr/libexec/sharingd
  335   ??  S      0:10.75 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
  336   ??  S      0:45.95 /System/Library/CoreServices/iconservicesagent
  337   ??  S      0:41.53 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/commerce
  338   ??  Ss     0:12.93 /usr/libexec/gamecontrollerd
  339   ??  S      0:12.90 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  340   ??  S      0:54.82 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
  341   ??  Ss     0:19.73 /System/Library/PrivateFrameworks/CoreWLANKit.framework/Versions/A/XPCServices/WiFiProxy.xpc/Contents/MacOS/WiFiProxy
  346   ??  S      6:49.20 /System/Library/PrivateFrameworks/CalendarAgent.framework/Executables/CalendarAgent
  348   ??  S      0:02.89 /System/Library/PrivateFrameworks/MessagesKit.framework/Resources/soagent.app/Contents/MacOS/soagent
  349   ??  S      0:07.25 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  351   ??  Ss     0:02.94 /usr/sbin/filecoordinationd
  352   ??  Ss     0:03.85 /System/Library/PrivateFrameworks/IMFoundation.framework/XPCServices/IMRemoteURLConnectionAgent.xpc/Contents/MacOS/IMRemoteURLConnectionAgent
  358   ??  S      0:00.24 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  363   ??  S      0:03.50 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeaccountd
  365   ??  S      0:23.46 /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
  367   ??  S      0:12.65 /usr/libexec/nsurlstoraged
  374   ??  Ss     0:00.04 /System/Library/PrivateFrameworks/AssetCacheServicesExtensions.framework/XPCServices/AssetCacheManagerService.xpc/Contents/MacOS/AssetCacheManagerService
  379   ??  Ss     1:32.31 /System/Library/PrivateFrameworks/CalendarNotification.framework/Versions/A/XPCServices/CalNCService.xpc/Contents/MacOS/CalNCService
  399   ??  Ss    36:51.41 /usr/libexec/sysmond
  402   ??  Ss     2:01.82 /System/Library/PrivateFrameworks/AmbientDisplay.framework/Versions/A/XPCServices/com.apple.AmbientDisplayAgent.xpc/Contents/MacOS/com.apple.AmbientDisplayAgent
  406   ??  Ss     0:01.97 /System/Library/PrivateFrameworks/IMFoundation.framework/XPCServices/IMRemoteURLConnectionAgent.xpc/Contents/MacOS/IMRemoteURLConnectionAgent
  407   ??  S      0:08.28 /System/Library/Frameworks/InputMethodKit.framework/Resources/imklaunchagent
  408   ??  Ss     0:26.34 /System/Library/Input Methods/PressAndHold.app/Contents/PlugIns/PAH_Extension.appex/Contents/MacOS/PAH_Extension
  409   ??  S      0:04.27 /usr/libexec/fmfd
  416   ??  S      0:00.63 /usr/libexec/secinitd
  417   ??  Ss     0:04.51 /System/Library/PrivateFrameworks/CoreADI.framework/adid
  420   ??  S      0:00.54 /usr/libexec/networkserviceproxy
  421   ??  S      1:14.62 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
  423   ??  Ss     0:00.94 /usr/libexec/findmydeviced
  424   ??  S      0:00.12 /System/Library/CoreServices/APFSUserAgent
  426   ??  S      0:00.27 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
  427   ??  S      0:12.49 /System/Library/CoreServices/CoreLocationAgent.app/Contents/MacOS/CoreLocationAgent
  428   ??  S      0:00.67 /usr/sbin/cfprefsd agent
  429   ??  S      0:01.41 /System/Library/CoreServices/pbs
  430   ??  S      2:13.90 /System/Library/Services/AppleSpell.service/Contents/MacOS/AppleSpell
  432   ??  S      0:01.10 /System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHistoryPluginHelper
  433   ??  Ss     0:02.32 /System/Library/CoreServices/iconservicesagent runAsRoot
  434   ??  S      0:04.60 /usr/libexec/keyboardservicesd
  435   ??  S      1:21.33 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
  436   ??  S      0:00.41 /System/Library/PrivateFrameworks/CommunicationsFilter.framework/CMFSyncAgent
  437   ??  S      0:00.39 /usr/sbin/distnoted agent
  438   ??  S      0:00.36 /System/Library/PrivateFrameworks/CoreFollowUp.framework/Versions/A/Support/followupd
  439   ??  S      0:00.79 /System/Library/CoreServices/backgroundtaskmanagementagent
  440   ??  S      0:02.01 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdwrite
  441   ??  Ss     0:00.24 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp -d
  443   ??  S      0:00.23 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp
  444   ??  S      0:00.14 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -tw
  445   ??  Ss     0:01.51 /System/Library/PrivateFrameworks/IMFoundation.framework/XPCServices/IMRemoteURLConnectionAgent.xpc/Contents/MacOS/IMRemoteURLConnectionAgent
  446   ??  S      0:00.02 SafeEjectGPUAgent
  447   ??  S      0:00.21 /System/Library/CoreServices/Menu Extras/SafeEjectGPUExtra.menu/Contents/XPCServices/SafeEjectGPUService.xpc/Contents/MacOS/SafeEjectGPUService
  448   ??  S      0:00.81 /usr/libexec/swcd
  449   ??  S      0:04.21 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistantd
  450   ??  S      0:05.50 /usr/libexec/videosubscriptionsd
  451   ??  S      0:00.74 /System/Library/PrivateFrameworks/ProtectedCloudStorage.framework/Helpers/ProtectedCloudKeySyncing
  452   ??  S      0:00.14 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd
  456   ??  S      0:00.63 /System/Library/CoreServices/SocialPushAgent.app/Contents/MacOS/SocialPushAgent
  459   ??  S      0:00.86 /usr/libexec/dmd
  460   ??  S      0:03.65 /System/Library/Image Capture/Support/icdd
  462   ??  S      0:11.75 /System/Library/CoreServices/AirPlayUIAgent.app/Contents/MacOS/AirPlayUIAgent --launchd
  464   ??  S      0:21.39 /usr/libexec/knowledge-agent
  465   ??  S      1:38.47 /System/Library/CoreServices/cloudpaird
  466   ??  S      0:16.00 /System/Library/PrivateFrameworks/Noticeboard.framework/Versions/A/Resources/nbagent.app/Contents/MacOS/nbagent
  467   ??  S      0:08.57 /System/Library/CoreServices/diagnostics_agent
  468   ??  S      0:05.80 /usr/libexec/adprivacyd
  471   ??  S      0:00.46 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar
  477   ??  S      0:04.27 /System/Library/PrivateFrameworks/AssetCacheServices.framework/Versions/A/XPCServices/AssetCacheLocatorService.xpc/Contents/MacOS/AssetCacheLocatorService -a
  478   ??  Ss     0:00.46 /usr/libexec/AssetCache/AssetCache
  479   ??  S      0:00.83 /System/Library/PrivateFrameworks/PrintingPrivate.framework/Versions/A/PrintUITool
  480   ??  S      0:00.31 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdate_notify_agent
  481   ??  S      1:03.10 /System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd
  482   ??  S      0:00.14 /System/Library/Frameworks/MediaAccessibility.framework/Versions/A/XPCServices/com.apple.accessibility.mediaaccessibilityd.xpc/Contents/MacOS/com.apple.accessibility.mediaaccessibilityd
  487   ??  Ss     2:58.92 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
  488   ??  Ss     0:00.47 /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
  491   ??  S      0:01.20 /usr/libexec/assertiond
  493   ??  S      0:00.26 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storelegacy
  494   ??  S      0:02.38 /usr/libexec/trustd --agent
  495   ??  S      0:00.23 /usr/libexec/USBAgent
  498   ??  S      0:00.97 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted
  499   ??  Ss     0:09.63 /System/Library/PrivateFrameworks/CoreSymbolication.framework/coresymbolicationd
  500   ??  S      0:00.28 /usr/libexec/spindump_agent
  502   ??  S      0:00.61 /usr/libexec/SidecarRelay
  503   ??  S      0:18.88 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeassetd
  521   ??  Ss     0:49.63 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/installd
  550   ??  S      0:04.16 /System/Library/PrivateFrameworks/CommerceKit.framework/Resources/LaterAgent.app/Contents/MacOS/LaterAgent
  552   ??  Ss     0:00.54 /usr/libexec/dmd
  554   ??  S      0:04.98 /usr/libexec/trustd --agent
  568   ??  S      0:00.35 /usr/sbin/distnoted agent
  581   ??  S      0:01.80 /usr/sbin/systemstats --logger-helper /private/var/db/systemstats
  583   ??  Ss     0:00.12 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/XPCServices/com.apple.cmio.registerassistantservice.xpc/Contents/MacOS/com.apple.cmio.registerassistantservice
  588   ??  Ss     0:02.47 /Library/CoreMediaIO/Plug-Ins/DAL/AppleCamera.plugin/Contents/Resources/AppleCameraAssistant
  641   ??  Ss     0:00.75 /System/Library/CoreServices/sharedfilelistd
  643   ??  Ss     0:03.59 /usr/libexec/taskgated
  653   ??  S      0:22.67 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
  659   ??  S      0:15.56 /System/Library/CoreServices/cloudphotosd.app/Contents/MacOS/cloudphotosd
  661   ??  S      0:12.14 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeuid.app/Contents/MacOS/storeuid
  663   ??  S      0:00.29 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storedownloadd
  664   ??  S      0:26.16 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
  666   ??  S      0:02.16 /System/Library/PrivateFrameworks/CloudPhotoServices.framework/Versions/A/Frameworks/CloudPhotosConfigurationXPC.framework/Versions/A/XPCServices/com.apple.CloudPhotosConfiguration.xpc/Contents/MacOS/com.apple.CloudPhotosConfiguration
  667   ??  S      0:04.33 /System/Library/PrivateFrameworks/PhotoLibraryPrivate.framework/Versions/A/Support/photolibraryd
  668   ??  S      0:04.97 /System/Library/CoreServices/ScopedBookmarkAgent
  669   ??  Ss     0:03.33 /System/Library/PrivateFrameworks/PhotoLibraryPrivate.framework/Versions/A/Frameworks/PhotoLibraryServices.framework/Versions/A/XPCServices/com.apple.photomoments.xpc/Contents/MacOS/com.apple.photomoments
  670   ??  S      0:11.90 /System/Library/PrivateFrameworks/PhotoAnalysis.framework/Versions/A/Support/photoanalysisd
  674   ??  Ss     0:00.54 /usr/libexec/dprivacyd
  675   ??  S      0:11.41 /System/Library/PrivateFrameworks/AppStoreDaemon.framework/Support/appstoreagent
  676   ??  S      0:50.77 /System/Library/CoreServices/SafariSupport.bundle/Contents/MacOS/SafariBookmarksSyncAgent
  678   ??  S      0:01.67 /System/Library/CoreServices/mapspushd
  681   ??  SNs    0:00.06 /usr/libexec/periodic-wrapper daily
  695   ??  Ss     0:00.32 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdate_download_service
  698   ??  Ss     0:00.16 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeinstalld
  699   ??  Ss     0:00.22 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/XPCServices/com.apple.CommerceKit.TransactionService.xpc/Contents/MacOS/com.apple.CommerceKit.TransactionService
  704   ??  S      0:00.27 /System/Library/PrivateFrameworks/UsageTracking.framework/Versions/A/UsageTrackingAgent
  758   ??  S      0:01.25 /usr/libexec/silhouette
  759   ??  Ss     0:01.23 /System/Library/PrivateFrameworks/PhotoLibraryPrivate.framework/Versions/A/Frameworks/PhotoLibraryServices.framework/Versions/A/XPCServices/com.apple.photomodel.xpc/Contents/MacOS/com.apple.photomodel
  775   ??  S      0:00.24 /System/Library/PrivateFrameworks/QuickLookThumbnailing.framework/Support/com.apple.quicklook.ThumbnailsAgent
  776   ??  Ss     0:00.23 /usr/bin/sysdiagnose
 1190   ??  S      0:00.38 /usr/sbin/distnoted agent
 1210   ??  S      0:14.80 /System/Library/CoreServices/OSDUIHelper.app/Contents/MacOS/OSDUIHelper
 1211   ??  S      0:04.57 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/atsd
 1212   ??  Ss     0:00.73 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/XPCServices/media-indexer.xpc/Contents/MacOS/media-indexer
 1213   ??  Ss     0:00.80 /System/Library/Frameworks/iTunesLibrary.framework/Versions/A/XPCServices/com.apple.iTunesLibraryService.xpc/Contents/MacOS/com.apple.iTunesLibraryService
 1231   ??  Ss     0:01.58 /usr/libexec/DataDetectorsSourceAccess
 1233   ??  S      0:00.09 /usr/libexec/mobileactivationd
 1234   ??  S      0:00.44 /System/Library/CoreServices/EscrowSecurityAlert.app/Contents/MacOS/EscrowSecurityAlert
 1239   ??  S      0:08.27 /System/Library/PrivateFrameworks/CloudServices.framework/Versions/A/XPCServices/com.apple.sbd.xpc/Contents/MacOS/com.apple.sbd
 1244   ??  S      0:00.16 /System/Library/PrivateFrameworks/CoreCDP.framework/Versions/A/Resources/cdpd
 1250   ??  S      1:10.00 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker -s mdworker-sizing -c MDSSizingWorker -m com.apple.mdworker.sizing
 1251   ??  S      0:02.07 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker -s mdworker-sizing -c MDSSizingWorker -m com.apple.mdworker.sizing
 1526   ??  S      0:00.13 /System/Library/Frameworks/ColorSync.framework/Support/colorsync.useragent
 1613   ??  S      0:01.40 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/SpeechSynthesis.framework/Resources/com.apple.speech.speechsynthesisd
 1756   ??  S      7:01.96 /Applications/Utilities/Terminal.app/Contents/MacOS/Terminal
 1884   ??  S      0:00.06 /System/Library/CoreServices/ReportCrash agent
 1992   ??  S      0:02.61 /usr/libexec/avconferenced
 1994   ??  Ss     0:01.42 /System/Library/PrivateFrameworks/IMFoundation.framework/XPCServices/IMRemoteURLConnectionAgent.xpc/Contents/MacOS/IMRemoteURLConnectionAgent
 2004   ??  S     17:30.20 /Applications/Microsoft PowerPoint.app/Contents/MacOS/Microsoft PowerPoint -psn_0_286790
 2040   ??  S      0:01.12 /System/Library/PrivateFrameworks/IMDPersistence.framework/IMAutomaticHistoryDeletionAgent.app/Contents/MacOS/IMAutomaticHistoryDeletionAgent
 2043   ??  S     16:47.78 /Applications/Spotify.app/Contents/MacOS/Spotify
 2045   ??  S      0:00.48 /Applications/Spotify.app/Contents/Frameworks/Spotify Helper.app/Contents/MacOS/Spotify Helper --monitor-self-annotation=ptype=crashpad-handler --type=crashpad-handler --max-uploads=5 --max-db-size=20 --max-db-age=5 --database=/Users/rory/Library/Application Support/Spotify/User Data --url=https://crashdump.spotify.com:443/ --annotation=platform=macos --annotation=product=spotify --annotation=version=1.0.89.313 --handshake-fd=8
