ticker,chance
AME,0.560351719
O,0.560129136
ALB,0.559552358
CTSH,0.559552358
UNM,0.559552358
HAS,0.559552358
PPL,0.559552358
TXT,0.559552358
DRI,0.558752998
DE,0.558752998
ADM,0.558752998
BXP,0.558752998
A,0.558752998
AEE,0.557953637
WMT,0.557953637
SO,0.557953637
EXR,0.557953637
ORLY,0.557953637
STI,0.557953637
ECL,0.557154277
PFE,0.557154277
CVS,0.557154277
XL,0.556809025
GGP,0.556458164
MDLZ,0.556354916
SBUX,0.556354916
KR,0.556354916
HBAN,0.556354916
LYB,0.556354916
ROK,0.555555556
CMA,0.555555556
CINF,0.555555556
DHR,0.555286521
DIS,0.554756195
EQR,0.554756195
WFC,0.554756195
D,0.554756195
ULTA,0.554756195
COL,0.554756195
BK,0.553956835
ABC,0.553157474
EXC,0.553157474
CFG,0.552579365
RE,0.552358114
VMC,0.552358114
NKE,0.552358114
BMY,0.552358114
SEE,0.551558753
UPS,0.551558753
AXP,0.551558753
IRM,0.551558753
PPG,0.551558753
APD,0.551558753
ADI,0.550759392
WYN,0.55042735
WBA,0.549960032
HSIC,0.549960032
HBI,0.549960032
BBT,0.549960032
LNC,0.549960032
JNPR,0.549960032
PG,0.549960032
TGT,0.549160671
SNA,0.549160671
MS,0.549160671
PKG,0.548361311
RF,0.548361311
AMGN,0.548361311
UHS,0.548361311
PCG,0.548361311
GOOG,0.548102383
PEG,0.54756195
CCI,0.54756195
CNP,0.54756195
DHI,0.54756195
TROW,0.54756195
ZBH,0.54756195
VNO,0.54756195
MSI,0.54676259
FL,0.54676259
XOM,0.545963229
STX,0.545963229
SLG,0.545963229
HST,0.545963229
PWR,0.545963229
PSA,0.545963229
DOV,0.545963229
C,0.545963229
BKNG,0.545963229
REG,0.545163869
GS,0.545163869
HOLX,0.544364508
WU,0.544364508
CB,0.544364508
AIG,0.544364508
SYMC,0.544364508
ALK,0.543565148
ETR,0.543565148
KEY,0.542765787
EMN,0.542765787
QRVO,0.542066028
DAL,0.541966427
XLNX,0.541966427
BAC,0.541966427
ORCL,0.541966427
PBCT,0.541167066
GT,0.541167066
BRK.B,0.541167066
WMB,0.541167066
CMI,0.541167066
SYF,0.541108987
COF,0.540367706
EBAY,0.540367706
OKE,0.539568345
DFS,0.538768985
K,0.538768985
AKAM,0.538768985
MET,0.538768985
NWL,0.538768985
DG,0.538768985
ETN,0.538768985
ICE,0.5384
NKTR,0.5384
DLTR,0.537969624
CHTR,0.537969624
WELL,0.537969624
AYI,0.537969624
NCLH,0.537969624
HRB,0.537969624
JCI,0.537969624
QCOM,0.537170264
ZION,0.537170264
MAS,0.536370903
DVA,0.536370903
MCK,0.535571543
CMCSA,0.535571543
WLTW,0.534985423
T,0.534772182
JWN,0.534772182
MRK,0.534772182
KSU,0.534772182
MNST,0.534772182
LKQ,0.534772182
EVHC,0.534065934
PHM,0.533972822
VRTX,0.533972822
CPB,0.533972822
GIS,0.533972822
MHK,0.533972822
STT,0.533173461
TWX,0.532599492
PCAR,0.532374101
NTAP,0.532374101
PVH,0.53157474
MU,0.53157474
UTX,0.53157474
IP,0.53157474
FBHS,0.53077538
MAC,0.53077538
TPR,0.53077538
INCY,0.529976019
CVX,0.529976019
XRX,0.529976019
UAL,0.529976019
KSS,0.529976019
MON,0.529812606
VTR,0.529176659
GRMN,0.529176659
AZO,0.528377298
TIF,0.528377298
EMR,0.528377298
GPC,0.528377298
CF,0.528377298
COP,0.527577938
FLIR,0.527577938
AGN,0.527577938
HSY,0.527577938
BLK,0.526778577
WHR,0.526778577
AES,0.526778577
WDC,0.526778577
PNR,0.526778577
JEC,0.526778577
ADS,0.525979217
SCG,0.525179856
DWDP,0.524344569
AAP,0.523581135
VZ,0.523581135
KMB,0.522781775
NRG,0.522781775
TSCO,0.522781775
CERN,0.521982414
LB,0.521982414
JBHT,0.521183054
FE,0.521183054
SRCL,0.520383693
FAST,0.520383693
OMC,0.519584333
KMX,0.519584333
AAL,0.518784972
HCP,0.518784972
IPG,0.517985612
ARNC,0.517985612
WY,0.517186251
MGM,0.51638689
GILD,0.51638689
FOXA,0.51638689
NAVI,0.516100179
RL,0.51558753
HAL,0.51558753
CELG,0.51558753
NLSN,0.51558753
CXO,0.514788169
CSRA,0.514333895
SJM,0.513988809
NUE,0.513189448
TAP,0.513189448
BHGE,0.512903226
LEN,0.512390088
WRK,0.512195122
BWA,0.511590727
MLM,0.510791367
KIM,0.510791367
NFX,0.510791367
UAA,0.509992006
APTV,0.50990099
BIIB,0.509192646
GM,0.509192646
BEN,0.509192646
XRAY,0.509192646
HP,0.509192646
FOX,0.508393285
M,0.506794564
NEM,0.506794564
WYNN,0.506794564
OXY,0.506794564
CTL,0.505195843
GWW,0.505195843
EOG,0.504396483
XEC,0.504396483
IVZ,0.504396483
FLS,0.503597122
AMG,0.503597122
PRGO,0.503597122
CMG,0.503597122
NWSA,0.502797762
IBM,0.502797762
PXD,0.502797762
COTY,0.501998401
REGN,0.501199041
ALXN,0.501199041
HES,0.50039968
MOS,0.498800959
KORS,0.498001599
L,0.498001599
FLR,0.497202238
MYL,0.496402878
FMC,0.494804157
MRO,0.491606715
DVN,0.490807354
APC,0.490807354
F,0.489208633
KHC,0.488314883
DISH,0.486810552
GPS,0.485211831
VIAB,0.485211831
FTI,0.485211831
NWS,0.485211831
FCX,0.485211831
KMI,0.485211831
COG,0.485211831
CBS,0.485211831
SLB,0.48361311
TRIP,0.48361311
GE,0.482813749
APA,0.482813749
EQT,0.481215028
NOV,0.480415667
DISCK,0.480415667
UA,0.479099678
MAT,0.477218225
DISCA,0.474820144
HOG,0.474820144
NBL,0.46842526
LUK,0.460085837
BHF,0.445182724
RRC,0.443645084
VXX,0.354116707
